scenario_index,provider,model,input_tokens,output_tokens
1,volcengine,deepseek-v3-2-251201,184,28
1,volcengine,ep-m-20260411093114-9hftc,587,88
1,volcengine,ep-m-20260411093114-9hftc,578,188
1,volcengine,ep-m-20260411093114-9hftc,578,295
1,volcengine,ep-m-20260411093114-9hftc,593,400
1,volcengine,ep-m-20260411093114-9hftc,186,360
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,694,144
1,volcengine,ep-m-20260411093114-9hftc,681,174
1,volcengine,ep-m-20260411093114-9hftc,741,172
1,volcengine,ep-m-20260411093114-9hftc,734,400
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,ep-m-20260411093114-9hftc,0,0
1,volcengine,deepseek-v3-2-251201,418,349
2,volcengine,deepseek-v3-2-251201,203,34
2,volcengine,ep-m-20260411093114-9hftc,592,279
2,volcengine,ep-m-20260411093114-9hftc,578,400
2,volcengine,ep-m-20260411093114-9hftc,0,0
2,volcengine,ep-m-20260411093114-9hftc,0,0
2,volcengine,deepseek-v3-2-251201,677,400
3,volcengine,deepseek-v3-2-251201,207,50
3,volcengine,ep-m-20260411093114-9hftc,600,239
3,volcengine,ep-m-20260411093114-9hftc,0,0
3,volcengine,deepseek-v3-2-251201,546,400
